size,block_size,cpu_ms,gpu_ms,speedup,cpu_sum,gpu_sum,abs_diff,correct,gpu_status
1000,128,0.000751,0.131169,0.00572544,-20.1216,-20.1216,7.62939e-06,1,"OK"
1000,256,0.000751,0.13137,0.00571668,-20.1216,-20.1216,7.62939e-06,1,"OK"
1000,512,0.000751,0.128354,0.00585101,-20.1216,-20.1216,7.62939e-06,1,"OK"
10000,128,0.007324,0.13712,0.0534131,110.521,110.522,0.000213623,1,"OK"
10000,256,0.007324,0.147751,0.0495699,110.521,110.522,0.000205994,1,"OK"
10000,512,0.007324,0.136249,0.0537545,110.521,110.522,0.000228882,1,"OK"
50000,128,0.036279,0.243964,0.148706,-69.3008,-69.3004,0.000312805,1,"OK"
50000,256,0.036279,0.157911,0.229743,-69.3008,-69.3005,0.000289917,1,"OK"
50000,512,0.036279,0.156197,0.232264,-69.3008,-69.3005,0.000289917,1,"OK"
100000,128,0.072478,0.154764,0.468313,-189.918,-189.917,0.000244141,1,"OK"
100000,256,0.072478,0.15759,0.459915,-189.918,-189.917,0.000228882,1,"OK"
100000,512,0.072478,0.159564,0.454225,-189.918,-189.917,0.000259399,1,"OK"
500000,128,0.362279,0.265705,1.36346,-968.048,-968.041,0.00738525,1,"OK"
500000,256,0.362279,0.259714,1.39492,-968.048,-968.04,0.00823975,1,"OK"
500000,512,0.362279,0.257169,1.40872,-968.048,-968.04,0.00836182,1,"OK"
1000000,128,0.729176,0.52606,1.38611,16.207,16.2028,0.00418472,1,"OK"
1000000,256,0.729176,0.485523,1.50184,16.207,16.2039,0.00305557,1,"OK"
1000000,512,0.729176,0.506924,1.43843,16.207,16.2029,0.00406075,1,"OK"
